,Country,tot_rev,avg_rev,tot_cust,quantity
0,Australia,137077.27,108.87789515488483,9,67
1,Austria,10154.32,25.322493765586035,11,23
2,Bahrain,548.4,32.258823529411764,2,8
3,Belgium,40910.96,19.773301111648138,25,38
4,Brazil,1143.6,35.7375,1,7
5,Canada,3666.38,24.28066225165563,4,19
6,Channel Islands,20086.29,26.49906332453826,9,25
7,Cyprus,12946.29,20.81397106109325,8,29
8,Czech Republic,707.72,23.590666666666667,1,12
9,Denmark,18768.14,48.24714652956298,9,35
10,EIRE,250285.22,33.43823914495658,3,88
11,European Community,1291.75,21.17622950819672,1,9
12,Finland,22326.74,32.124805755395684,12,30
13,France,196712.84,23.167217053350605,87,74
14,Germany,221698.21,23.348942601369142,95,68
15,Greece,4710.52,32.26383561643836,4,16
16,Iceland,4310.0,23.681318681318682,1,15
17,Israel,6994.25,27.977,4,24
18,Italy,16890.51,21.034259028642587,15,30
19,Japan,35340.62,98.7168156424581,8,47
20,Lebanon,1693.88,37.64177777777778,1,9
21,Lithuania,1661.06,47.45885714285714,1,10
22,Malta,2505.47,19.72811023622047,2,18
23,Netherlands,284661.54,120.05969633066216,9,66
24,Norway,35163.46,32.37887661141805,10,37
25,Poland,7213.14,21.15290322580645,6,24
26,Portugal,29059.81,19.63500675675676,19,32
27,RSA,1002.3100000000001,17.281206896551726,1,9
28,Saudi Arabia,131.17,13.116999999999999,1,4
29,Singapore,9120.39,39.82703056768559,1,24
30,Spain,54774.58,21.624390051322543,31,49
31,Sweden,36595.91,79.21192640692641,8,48
32,Switzerland,55739.4,29.696004262120407,21,45
33,USA,1730.92,5.948178694158075,4,32
34,United Arab Emirates,1902.28,27.97470588235294,2,11
35,United Kingdom,6767873.394,18.702085769237147,3950,426
36,Unspecified,2667.07,10.930614754098361,4,14
